station number,station name,start,end,Approximate number of years of data
23034,Adelaide,1994,open,20
15590,Alice Springs,1993,open,26
3003,Broome,1996,open,23
31011,Cairns,1997,2004,6
91148,Cape Grim,1998,open,21
48027,Cobar,2012,2014,1
200284,Cocos Island,2004,open,14
14015,Darwin,1993,open,25
8315,Geraldton Airport,2012,open,5
8051,Geraldton Airport Comparison,1996,2006,9
12038,Kalgoorlie-Boulder,1998,open,12
5007,Learmonth,1996,open,14
36031,Longreach Aero,2012,2014,1
86282,Melbourne Airport,1999,open,21
76031,Mildura,1996,2013,10
26021,Mount Gambier,1993,2006,11
39083,Rockhampton Aero,1996,open,24
15135,Tennant Creek Airport,1996,2006,10
32040,Townsville Aero,2012,open,4
72150,Wagga Wagga,1997,open,23
16001,Woomera,2012,2013,
