Category,Element,Residential Count,Business Count,Mixed Count,Residential Energy Consumption (kWh),Business Energy Consumption (kWh),No Controlled Load Count,Tariff 9000 Count,Tariff 9100 Count,Tariff 9000 and 9100 Count,Unit Count,Solar PV Count,Solar PV Installed Capacity,Count of Pools,Property Age <1980,Property Age 1980 to 1989,Property Age 1990 to 1999,Property Age >2000,Residential Quintile - Lowest,Residential Quintile - Low,Residential Quintile - Medium,Residential Quintile - High,Residential Quintile - Highest,Business Quintile - Lowest,Business Quintile - Low,Business Quintile - Medium,Business Quintile - High,Business Quintile - Highest
Council,Brisbane City,474121,42419,275,2533998075,6684011521,246354,42435,160963,2418,171257,117037,531927.863,69999,211141,44559,93294,167787,113254,99120,92568,87271,82183,6841,7239,8291,9700,10623
Council,Gold Coast City,240858,24891,169,1464900099,2218019233,143455,28703,56565,2867,111558,65360,309108.413,53466,45179,51830,65156,103728,41148,47543,48608,49288,54440,4990,5675,5274,4626,4495
Council,Gympie Regional,20502,2825,105,105698416.1,240867434.8,7997,4384,7339,172,2485,7597,34829.86,2211,6617,3795,4738,8280,4849,4325,4193,3947,3293,825,639,577,492,397
Council,Ipswich City,83308,4976,83,476122897.2,897179313.7,45687,8641,24701,332,12389,26415,115138.23,7276,24293,9532,12062,42475,14776,15756,17155,18038,17666,1036,969,897,936,1221
Council,Lockyer Valley Regional,15371,2809,225,98874214.33,151294296.4,6592,2438,6025,60,1032,6658,35418.15,1298,4656,2842,4278,6629,2356,2632,3035,3503,4070,819,473,458,673,611
Council,Logan City,118315,9569,94,719885563.8,671299067.2,52686,14821,43100,747,24798,42045,184877.583,22904,28220,28150,28218,43381,18467,20648,23799,26663,28832,1825,1904,2175,1973,1786
Council,Moreton Bay Regional,171221,13093,161,976075013,881880637.8,81556,22357,52556,1552,36204,63632,283864.43,30294,36005,26480,39102,82876,30930,34066,35065,36185,35136,2968,2835,2741,2403,2307
Council,None or Unknown,4251,429,3,22764342.44,37512281.28,1413,568,2031,41,1141,1458,5713.3,641,1714,1229,699,1041,792,950,930,853,729,118,78,78,60,98
Council,Noosa Shire,29428,3081,61,170086176.1,129237814.6,13148,5786,8271,872,10230,9217,42203.29,7675,4300,7529,11009,9731,5677,6080,6091,5833,5808,696,819,684,508,435
Council,Redland City,63963,4157,50,371184376.2,321411913.8,24655,11324,23231,895,12432,24111,98078.214,14826,10166,14881,18011,25103,11583,12175,12652,13405,14198,845,887,914,817,744
Council,Scenic Rim Regional,17154,3435,181,106770644.9,146268068,7584,3294,5904,128,1828,6731,30863.756,1580,5843,3858,4047,7020,3098,3019,3358,3721,4139,1057,662,607,653,637
Council,Somerset Regional,10292,1864,145,62812775.03,119198389.1,5157,1390,3613,27,470,4551,24948.49,746,3216,2229,2505,4350,1994,1753,2005,2162,2523,598,382,306,416,307
Council,Sunshine Coast Regional,137488,14109,329,749421222.9,798777803.2,62270,24416,40575,2726,44865,48276,221219.934,25929,24305,26047,37774,63781,28708,29563,28173,26758,24615,3288,3345,2906,2651,2248
Postcode,4000,6442,2275,5,29938733.65,902368306.8,5896,83,460,0,6370,197,1763.97,148,1658,678,1519,4866,2735,1739,961,606,406,361,306,350,435,828
Postcode,4005,9124,699,3,41670640.86,36325652.31,7346,186,1541,2,7344,503,2578.74,443,3165,985,2271,3404,3692,2223,1319,895,998,97,137,155,174,139
Postcode,4006,5688,2572,6,26096281.74,458239343.6,4943,102,656,0,5851,258,3040.13,125,1512,497,1606,4651,2436,1412,878,546,422,380,338,489,656,715
Postcode,4007,6983,577,4,40191486.91,54717425.26,5094,206,1536,12,4519,653,4102.11,1057,2703,605,1161,3095,2337,1411,1038,861,1340,89,116,107,106,163
Postcode,4008,154,340,0,785821.8376,243230422.4,67,9,76,0,139,46,747.81,11,155,26,23,290,40,36,30,27,21,62,35,46,67,130
Postcode,4009,9,574,0,120033.0915,261254396.3,9,0,6,0,304,33,881.75,0,94,68,147,274,5,0,0,0,4,59,61,93,168,193
Postcode,4010,1563,499,4,5918013.031,26315737.77,1230,24,300,1,1211,142,772.27,67,788,215,270,793,740,321,236,143,127,67,96,132,124,84
Postcode,4011,7772,608,9,40288884.83,24863870.12,5092,257,2230,9,4056,1049,5113.53,1153,4354,733,1136,2166,2419,1570,1271,1122,1399,87,96,140,159,135
Postcode,4012,10916,521,7,46735515.65,39596874.51,7004,351,3056,20,5325,1629,6649.05,844,5449,667,1424,3903,3600,2632,1991,1599,1101,102,117,107,100,102
Postcode,4013,2343,494,4,10541105.61,36779745.93,1422,74,753,2,1209,432,2992.72,196,1259,196,430,955,750,524,436,378,259,119,105,89,109,76
Postcode,4014,4954,1088,2,26878517.47,125575351.7,2039,452,1892,19,902,1652,7913.57,552,2845,364,577,2258,874,973,1132,1152,825,154,152,221,265,298
Postcode,4017,14712,776,11,73342188.32,40571537.2,6989,1410,5043,79,2090,4932,19118.22,2335,8853,1019,2179,3447,3358,3256,3102,2866,2141,168,190,157,154,118
Postcode,4018,5222,100,1,22988277.43,13885608.59,3232,646,975,12,1839,1499,6557.52,241,258,20,2185,2860,1620,1381,1078,726,418,21,14,7,16,43
Postcode,4019,9779,1098,6,46139856.66,34539854.69,3510,889,4937,26,3336,2267,9739.02,887,5874,1632,1017,2359,2473,2364,2068,1678,1202,272,308,237,160,127
Postcode,4020,11552,796,9,55915344.39,51123181.97,5628,1111,4479,73,4235,2772,11737.12,1562,4638,1824,1408,4486,3208,2771,2129,1861,1592,190,194,155,133,133
Postcode,4021,3974,386,2,20825426.12,31543973.52,1290,524,1941,34,1087,1326,5072.36,580,1626,1210,625,901,742,910,883,801,640,110,71,74,50,83
Postcode,4022,2641,162,0,14204876.41,23260030.17,1066,387,888,24,708,919,3909.26,346,57,330,820,1596,479,561,548,598,455,35,30,16,33,48
