State,City,Solar system size ,Avg daily system output
,,kw(kilowatts),kWh(kilowatt-hours)
NSW,Sydney,1.5,5.8
NSW,Sydney,2,7.8
NSW,Sydney,3,11.6
NSW,Sydney,4,15.5
NSW,Sydney,5,19.4
NSW,Sydney,10,38.7
QLD,Brisbane,1.5,5.9
QLD,Brisbane,2,7.8
QLD,Brisbane,3,11.7
QLD,Brisbane,4,15.6
QLD,Brisbane,5,19.5
QLD,Brisbane,7,27.3
QLD,Brisbane,10,39
VIC,Melbourne,1.5,5.4
VIC,Melbourne,2,7.2
VIC,Melbourne,3,10.8
VIC,Melbourne,4,14.4
VIC,Melbourne,5,18.5
VIC,Melbourne,7,25.2
VIC,Melbourne,10,36
SA,Adelaide,1.5,5.4
SA,Adelaide,2,7.3
SA,Adelaide,3,10.9
SA,Adelaide,4,14.4
SA,Adelaide,5,18.2
SA,Adelaide,7,24.5
SA,Adelaide,10,36.3
WA,Perth,1.5,7
WA,Perth,2,9
WA,Perth,3,13
WA,Perth,4,17.5
WA,Perth,5,22
WA,Perth,7,30.5
WA,Perth,10,44
TAS,Hobart,2,6.6
TAS,Hobart,3,10
TAS,Hobart,4,13.2
TAS,Hobart,5,16.5
TAS,Hobart,7,23
TAS,Hobart,10,33
NT,Darwin,1.5,7
NT,Darwin,3,14
NT,Darwin,5,23.6
NT,Darwin,10,47
ACT,Canberra,2,7.2
ACT,Canberra,3,10.8
ACT,Canberra,4,14.4
ACT,Canberra,5,18
ACT,Canberra,7,25.2
ACT,Canberra,10,36
