POSTCODE,SUBURB,NMI#,INVERTER CAPACITY
4000,BRISBANE,8,316
4000,PETRIE TERRACE,75,319
4000,SPRING HILL,130,"1,231"
4005,NEW FARM,399,"2,193"
4005,TENERIFFE,139,794
4006,BOWEN HILLS,56,"1,229"
4006,FORTITUDE VALLEY,82,"2,747"
4006,HERSTON,119,615
4006,NEWSTEAD,24,294
4007,ASCOT,359,"2,346"
4007,HAMILTON,344,"2,204"
4008,PINKENBA,56,"1,110"
4009,EAGLE FARM,41,"6,214"
4010,ALBION,154,923
4011,CLAYFIELD,637,"3,359"
4011,HENDRA,508,"2,698"
4012,NUNDAH,637,"2,697"
4012,WAVELL HEIGHTS,"1,128","4,954"
4013,NORTHGATE,475,"3,437"
4014,BANYO,862,"4,159"
4014,NUDGEE,540,"2,369"
4014,NUDGEE BEACH,61,268
4014,VIRGINIA,334,"2,212"
4017,BRACKEN RIDGE,"2,665","10,580"
4017,BRIGHTON,"1,299","5,219"
4017,DEAGON,450,"1,883"
4017,SANDGATE,578,"2,598"
4017,SHORNCLIFFE,256,"1,129"
4018,FITZGIBBON,811,"3,028"
4018,TAIGUM,774,"4,123"
4019,CLONTARF,"1,175","5,842"
4019,MARGATE,786,"3,130"
4019,WOODY POINT,489,"2,018"
4020,NEWPORT,"1,030","5,162"
4020,REDCLIFFE,943,"3,995"
4020,SCARBOROUGH,"1,099","4,617"
4021,KIPPA-RING,"1,389","5,490"
4022,ROTHWELL,"1,001","4,268"
4030,KALINGA,213,"1,140"
4030,LUTWYCHE,141,688
4030,WINDSOR,490,"2,491"
4030,WOOLOOWIN,295,"1,285"
4031,GORDON PARK,366,"1,602"
4031,KEDRON,798,"4,313"
4032,CHERMSIDE,345,"2,906"
4032,CHERMSIDE WEST,841,"3,424"
4034,ASPLEY,"1,606","7,248"
4034,BOONDALL,"1,250","4,979"
4034,CARSELDINE,"1,365","5,925"
4034,GEEBUNG,629,"3,228"
4034,ZILLMERE,606,"2,832"
4035,ALBANY CREEK,"2,683","11,580"
4035,BRIDGEMAN DOWNS,"1,719","8,493"
4036,BALD HILLS,"1,046","4,431"
4037,EATONS HILL,"1,349","6,102"
4051,ALDERLEY,562,"2,729"
4051,ENOGGERA,416,"2,460"
4051,GAYTHORNE,168,656
4051,GRANGE,510,"2,422"
4051,NEWMARKET,399,"1,854"
4051,WILSTON,393,"1,862"
4053,EVERTON HILLS,826,"3,358"
4053,EVERTON PARK,891,"3,829"
4053,MCDOWALL,"1,063","4,560"
4053,MITCHELTON,859,"3,646"
4053,STAFFORD,499,"2,524"
4053,STAFFORD HEIGHTS,764,"3,183"
4054,ARANA HILLS,"1,042","4,091"
4054,KEPERRA,735,"2,728"
4055,BUNYA,394,"1,876"
4055,FERNY GROVE,844,"3,641"
4055,FERNY HILLS,"1,301","5,294"
4055,UPPER KEDRON,782,"3,549"
4059,KELVIN GROVE,319,"2,075"
4059,RED HILL,428,"1,998"
4060,ASHGROVE,"1,313","6,434"
4061,THE GAP,"2,332","9,981"
4064,MILTON,136,"2,077"
4064,PADDINGTON,704,"3,933"
4065,BARDON,984,"4,708"
4066,AUCHENFLOWER,351,"1,863"
4066,TOOWONG,527,"3,057"
4067,ST LUCIA,497,"3,692"
4068,CHELMER,403,"2,138"
4068,INDOOROOPILLY,896,"4,831"
4068,TARINGA,369,"1,857"
4069,BROOKFIELD,515,"2,904"
4069,CHAPEL HILL,"1,331","5,815"
4069,FIG TREE POCKET,582,"3,008"
4069,KENMORE,"1,234","5,621"
4069,KENMORE HILLS,389,"1,824"
4069,PINJARRA HILLS,73,872
4069,PULLENVALE,499,"3,135"
4069,UPPER BROOKFIELD,138,685
4070,ANSTEAD,245,"1,226"
4070,BELLBOWRIE,914,"4,243"
4070,MOGGILL,856,"3,949"
4073,SEVENTEEN MILE ROCKS,495,"2,865"
4073,SINNAMON PARK,"1,039","4,335"
4074,JAMBOREE HEIGHTS,451,"1,781"
4074,JINDALEE,768,"3,249"
4074,MIDDLE PARK,672,"2,704"
4074,MT OMMANEY,423,"2,016"
4074,RIVERHILLS,630,"2,603"
4074,SUMNER,168,"2,108"
4074,WESTLAKE,832,"3,425"
4075,CORINDA,547,"2,302"
4075,GRACEVILLE,548,"2,529"
4075,OXLEY,"1,074","4,546"
4075,SHERWOOD,477,"4,916"
4076,DARRA,554,"5,401"
4076,WACOL,140,"5,182"
4077,DOOLANDELLA,820,"3,285"
4077,DURACK,964,"3,852"
4077,INALA,"1,443","5,608"
4077,RICHLANDS,239,"2,771"
4078,ELLEN GROVE,233,942
4078,FOREST LAKE,"3,479","13,752"
4101,HIGHGATE HILL,353,"1,532"
4101,SOUTH BRISBANE,116,"1,862"
4101,WEST END,514,"2,512"
4102,DUTTON PARK,137,588
4102,WOOLLOONGABBA,339,"2,236"
4103,ANNERLEY,780,"3,226"
4103,FAIRFIELD,298,"1,241"
4104,YERONGA,510,"2,543"
4105,MOOROOKA,"1,006","4,301"
4105,TENNYSON,107,785
4105,YEERONGPILLY,150,732
4106,ROCKLEA,291,"5,011"
4107,SALISBURY,860,"4,819"
4108,ARCHERFIELD,122,"1,347"
4108,COOPERS PLAINS,706,"3,915"
4109,MACGREGOR,895,"3,754"
4109,ROBERTSON,641,"2,538"
4109,SUNNYBANK,"1,355","5,446"
4109,SUNNYBANK HILLS,"2,680","10,040"
4110,ACACIA RIDGE,885,"6,158"
4110,HEATHWOOD,799,"6,103"
4110,LARAPINTA,11,599
4110,PALLARA,433,"2,675"
4110,WILLAWONG,55,"2,992"
4111,NATHAN,107,445
4112,KURABY,"1,322","5,354"
4113,EIGHT MILE PLAINS,"2,059","9,819"
4113,RUNCORN,"1,734","6,073"
4114,KINGSTON,"1,007","4,334"
4114,LOGAN CENTRAL,470,"2,292"
4114,WOODRIDGE,908,"3,574"
4115,ALGESTER,"1,283","5,107"
4115,PARKINSON,"1,841","7,793"
4116,CALAMVALE,"2,369","9,778"
4116,DREWVALE,772,"3,129"
4116,STRETTON,903,"4,015"
4117,BERRINBA,243,"2,767"
4117,KARAWATHA,46,376
4118,BROWNS PLAINS,709,"3,091"
4118,FORESTDALE,501,"2,559"
4118,HERITAGE PARK,898,"3,866"
4118,HILLCREST,833,"3,795"
4118,REGENTS PARK,"1,788","7,158"
4119,UNDERWOOD,"1,102","6,254"
4120,GREENSLOPES,492,"2,328"
4120,STONES CORNER,69,382
4121,HOLLAND PARK,801,"3,552"
4121,HOLLAND PARK WEST,667,"2,819"
4121,TARRAGINDI,"1,239","5,525"
4122,MANSFIELD,"1,182","5,226"
4122,MT GRAVATT,309,"1,866"
4122,MT GRAVATT EAST,"1,078","4,342"
4122,UPPER MT GRAVATT,898,"3,750"
4122,WISHART,"1,457","5,762"
4123,ROCHEDALE,"1,125","7,540"
4123,ROCHEDALE SOUTH,"2,258","8,569"
4124,BORONIA HEIGHTS,"1,042","4,150"
4124,GREENBANK,"1,628","8,179"
4124,LYONS,2,6
4124,NEW BEITH,"1,145","6,073"
4125,MUNRUBEN,574,"2,661"
4125,PARK RIDGE,459,"2,818"
4125,PARK RIDGE SOUTH,342,"1,499"
4127,DAISY HILL,"1,008","4,297"
4127,PRIESTDALE,22,148
4127,SLACKS CREEK,"1,141","7,912"
4127,SPRINGWOOD,"1,268","6,866"
4128,SHAILER PARK,"1,928","8,206"
4128,TANAH MERAH,709,"2,881"
4129,LOGANHOLME,"1,005","5,290"
4130,CARBROOK,197,"1,084"
4130,CORNUBIA,"1,283","5,776"
4131,LOGANLEA,705,"2,825"
4131,MEADOWBROOK,473,"2,297"
4132,CRESTMEAD,"1,368","6,398"
4132,MARSDEN,"1,566","6,050"
4133,CHAMBERS FLAT,387,"1,933"
4133,LOGAN RESERVE,681,"3,322"
4133,WATERFORD,520,"2,614"
4133,WATERFORD WEST,938,"3,421"
4151,COORPAROO,"1,181","6,177"
4152,CAMP HILL,"1,214","5,514"
4152,CARINA,"1,070","4,423"
4152,CARINA HEIGHTS,532,"2,256"
4152,CARINDALE,"2,592","11,216"
4153,BELMONT,661,"2,963"
4154,GUMDALE,343,"1,859"
4154,RANSOME,69,384
4154,WAKERLEY,"1,293","5,882"
4155,CHANDLER,258,"1,872"
4156,BURBANK,190,"1,216"
4156,MACKENZIE,379,"1,650"
4157,CAPALABA,"2,842","12,516"
4157,SHELDON,270,"1,637"
4158,THORNESIDE,472,"1,798"
4159,BIRKDALE,"2,463","10,096"
4160,ORMISTON,"1,026","4,091"
4160,WELLINGTON POINT,"2,139","8,860"
4161,ALEXANDRA HILLS,"2,672","11,055"
4163,CLEVELAND,"2,115","10,059"
4164,THORNLANDS,"2,740","12,460"
4165,MOUNT COTTON,"1,130","5,124"
4165,REDLAND BAY,"2,812","12,294"
4165,VICTORIA POINT,"2,577","9,934"
4169,EAST BRISBANE,381,"2,119"
4169,KANGAROO POINT,132,941
4170,CANNON HILL,621,"3,613"
4170,MORNINGSIDE,804,"4,560"
4170,NORMAN PARK,565,"2,664"
4170,SEVEN HILLS,238,"1,289"
4171,BALMORAL,386,"1,905"
4171,BULIMBA,614,"3,538"
4171,HAWTHORNE,439,"2,320"
4172,MURARRIE,545,"3,351"
4173,TINGALPA,"1,229","5,765"
4174,HEMMANT,414,"2,595"
4178,LYTTON,16,567
4178,PORT OF BRISBANE,7,381
4178,WYNNUM,"1,587","6,821"
4178,WYNNUM WEST,"1,604","6,119"
4179,LOTA,442,"1,870"
4179,MANLY,518,"2,366"
4179,MANLY WEST,"1,695","7,086"
4183,AMITY,105,395
4183,DUNWICH,127,554
4183,NTH STRADBROKE ISLD,11,46
4183,POINT LOOKOUT,198,843
4184,COOCHIEMUDLO ISLAND,186,621
4184,KARRAGARRA ISLAND,81,276
4184,LAMB ISLAND,131,409
4184,MACLEAY ISLAND,726,"2,750"
4184,PERULPA ISLAND,12,41
4184,RUSSELL ISLAND,787,"2,968"
4205,BETHANIA,962,"4,126"
4207,ALBERTON,84,497
4207,BAHRS SCRUB,492,"2,519"
4207,BANNOCKBURN,107,458
4207,BEENLEIGH,883,"4,789"
4207,BELIVAH,85,414
4207,BUCCAN,364,"1,904"
4207,CEDAR CREEK,141,739
4207,EAGLEBY,"1,164","4,934"
4207,EDENS LANDING,799,"3,093"
4207,HOLMVIEW,386,"1,793"
4207,KAIRABAH,1,13
4207,LOGAN VILLAGE,"1,056","5,242"
4207,LUSCOMBE,53,436
4207,MOUNT WARREN PARK,"1,013","4,043"
4207,STAPYLTON,106,"4,657"
4207,STEIGLITZ,153,648
4207,WINDAROO,494,"2,071"
4207,WOLFFDENE,52,292
4207,WOONGOOLBA,41,264
4207,YARRABILBA,619,"3,169"
4207,YATALA,353,"4,357"
4208,GILBERTON,3,15
4208,JACOBS WELL,503,"2,659"
4208,KINGSHOLME,128,"1,046"
4208,NORWELL,29,140
4208,ORMEAU,"2,247","11,250"
4208,ORMEAU HILLS,645,"2,927"
4209,COOMERA,"1,446","10,686"
4209,PIMPAMA,"1,709","9,118"
4209,UPPER COOMERA,"3,402","16,597"
4209,WILLOW VALE,241,"1,331"
4210,GUANABA,157,885
4210,MAUDSLAND,"1,203","6,314"
4210,OXENFORD,"1,977","9,048"
4210,WONGAWALLAN,262,"1,471"
4211,ADVANCETOWN,103,697
4211,BEECHMONT,199,873
4211,BINNA BURRA,5,18
4211,CARRARA,"1,639","7,753"
4211,CLAGIRABA,119,640
4211,GAVEN,302,"1,515"
4211,GILSTON,419,"2,089"
4211,HIGHLAND PARK,986,"4,006"
4211,LOWER BEECHMONT,188,745
4211,MOUNT NATHAN,266,"1,529"
4211,NATURAL BRIDGE,21,109
4211,NERANG,"2,331","11,637"
4211,NUMINBAH VALLEY,28,173
4211,PACIFIC PINES,"2,253","9,966"
4212,HELENSVALE,"3,297","15,590"
4212,HOPE ISLAND,"1,727","10,197"
4213,AUSTINVILLE,55,320
4213,BONOGIN,794,"3,978"
4213,MUDGEERABA,"1,996","9,332"
4213,NERANWOOD,16,108
4213,SPRINGBROOK,135,561
4213,TALLAI,668,"3,348"
4213,WORONGARY,"1,018","4,658"
4214,ARUNDEL,"1,488","8,566"
4214,ASHMORE,"1,782","7,821"
4214,MOLENDINAR,"1,014","6,263"
4214,PARKWOOD,"1,307","5,333"
4215,LABRADOR,"1,269","5,253"
4215,SOUTHPORT,"1,816","10,059"
4216,BIGGERA WATERS,680,"3,166"
4216,COOMBABAH,"1,219","4,773"
4216,HOLLYWELL,449,"1,800"
4216,PARADISE POINT,912,"4,445"
4216,RUNAWAY BAY,"1,253","5,589"
4217,BENOWA,"1,340","6,560"
4217,BUNDALL,652,"3,679"
4217,MAIN BEACH,51,459
4217,SURFERS PARADISE,641,"3,787"
4218,BROADBEACH,11,110
4218,BROADBEACH WATERS,"1,244","6,079"
4218,MERMAID BEACH,320,"1,867"
4218,MERMAID WATERS,"1,656","7,425"
4220,BURLEIGH HEADS,"1,059","6,958"
4220,BURLEIGH WATERS,"2,040","10,091"
4220,MIAMI,599,"3,019"
4221,ELANORA,"2,083","8,432"
4221,PALM BEACH,"1,573","6,790"
4223,CURRUMBIN,288,"1,443"
4223,CURRUMBIN VALLEY,414,"1,831"
4223,CURRUMBIN WATERS,"1,502","6,543"
4224,TUGUN,633,"2,834"
4225,BILINGA,79,392
4225,COOLANGATTA,215,"1,114"
4226,CLEAR ISLAND WATERS,666,"3,038"
4226,MERRIMAC,692,"3,030"
4226,ROBINA,"2,799","12,303"
4227,REEDY CREEK,"1,098","5,173"
4227,VARSITY LAKES,"1,432","6,221"
4228,TALLEBUDGERA,602,"2,972"
4228,TALLEBUDGERA VALLEY,294,"1,533"
4270,TAMBORINE,789,"4,045"
4272,TAMBORINE MOUNTAIN,"1,379","6,150"
4275,BENOBBLE,3,25
4275,BIDDADDABA,33,295
4275,BOYLAND,156,913
4275,CANUNGRA,235,"1,262"
4275,FERNY GLEN,23,132
4275,FLYING FOX,7,27
4275,ILLINBAH,18,79
4275,SARABAH,6,25
4275,WITHEREN,84,424
4275,WONGLEPONG,69,309
4280,FLAGSTONE,"1,076","5,254"
4280,GLENLOGAN,220,"1,068"
4280,JIMBOOMBA,"1,327","7,154"
4280,NORTH MACLEAN,252,"1,221"
4280,RIVERBEND,123,592
4280,SOUTH MACLEAN,385,"1,823"
4280,STOCKLEIGH,233,"1,392"
4285,ALLENVIEW,30,267
4285,BEAUDESERT,785,"3,864"
4285,BIRNAM,8,32
4285,BROMELTON,23,222
4285,CAINBABLE,17,75
4285,CEDAR GROVE,409,"1,870"
4285,CEDAR VALE,544,"2,327"
4285,CHINGHEE CREEK,4,19
4285,CHRISTMAS CREEK,18,114
4285,CRYNA,24,162
4285,DARLINGTON,17,129
4285,GLENEAGLE,284,"1,314"
4285,HILLVIEW,21,179
4285,INNISPLAIN,15,78
4285,JOSEPHVILLE,25,140
4285,KAGARU,3,11
4285,KERRY,62,313
4285,KNAPP CREEK,11,42
4285,KOORALBYN,351,"1,488"
4285,LAMINGTON,31,186
4285,LARAVALE,22,93
4285,MOUNT GIPPS,1,4
4285,MUNDOOLUN,403,"2,023"
4285,NINDOOINBAH,13,97
4285,OAKY CREEK,25,133
4285,O'REILLY,1,3
4285,TABOOBA,18,82
4285,TAMROOKUM,14,268
4285,TAMROOKUM CREEK,1,5
4285,VERESDALE,72,470
4285,VERESDALE SCRUB,89,439
4285,WOODHILL,198,"1,085"
4287,BARNEY VIEW,15,46
4287,MT LINDESAY,1,5
4287,PALEN CREEK,24,137
4287,RATHDOWNEY,61,335
4287,RUNNING CREEK,19,182
4300,AUGUSTINE HEIGHTS,811,"3,830"
4300,BELLBIRD PARK,950,"4,172"
4300,BROOKWATER,502,"2,905"
4300,CAMIRA,"1,262","5,111"
4300,CAROLE PARK,31,"2,200"
4300,GAILES,190,716
4300,GOODNA,992,"4,350"
4300,SPRING MOUNTAIN,647,"3,753"
4300,SPRINGFIELD,"1,000","4,331"
4300,SPRINGFIELD CENTRAL,11,"1,533"
4300,SPRINGFIELD LAKES,"2,074","9,028"
4301,COLLINGWOOD PARK,"1,288","5,447"
4301,REDBANK,306,"2,120"
4301,REDBANK PLAINS,"2,017","8,630"
4303,DINMORE,100,411
4303,RIVERVIEW,293,"1,100"
4304,BLACKSTONE,187,738
4304,BOOVAL,300,"1,855"
4304,BUNDAMBA,839,"4,111"
4304,EBBW VALE,72,272
4304,NORTH BOOVAL,319,"1,261"
4304,SILKSTONE,491,"1,807"
4305,BASIN POCKET,130,500
4305,BRASSALL,"1,320","5,337"
4305,CHURCHILL,252,978
4305,COALFALLS,150,589
4305,EAST IPSWICH,291,"1,148"
4305,EASTERN HEIGHTS,464,"1,809"
4305,FLINDERS VIEW,937,"3,875"
4305,IPSWICH,246,"1,762"
4305,LEICHHARDT,321,"1,234"
4305,LIMESTONE RIDGES,14,68
4305,MOORES POCKET,230,617
4305,NEWTOWN,198,772
4305,NORTH IPSWICH,562,"2,307"
4305,NORTH TIVOLI,11,46
4305,ONE MILE,274,"1,077"
4305,RACEVIEW,"1,206","4,761"
4305,SADLIERS CROSSING,146,566
4305,TIVOLI,239,966
4305,WEST IPSWICH,54,874
4305,WOODEND,169,699
4305,WULKURAKA,151,782
4305,YAMANTO,803,"4,330"
4306,AMBERLEY,8,92
4306,BARELLAN POINT,251,"1,121"
4306,BLACKSOIL,24,161
4306,BORALLON,22,107
4306,CHUWAR,399,"1,929"
4306,DEEBING HEIGHTS,500,"2,528"
4306,DUNDAS,10,74
4306,ENGLAND CREEK,7,37
4306,FAIRNEY VIEW,42,191
