dim_local_government_area_key,local_government_area,postcode
39,SOUTH WEST,2406
33,BRISBANE,4000
33,BRISBANE,4005
33,BRISBANE,4006
33,BRISBANE,4007
33,BRISBANE,4008
33,BRISBANE,4009
33,BRISBANE,4010
33,BRISBANE,4011
33,BRISBANE,4012
33,BRISBANE,4013
33,BRISBANE,4014
33,BRISBANE,4017
33,BRISBANE,4018
36,NORTH COAST,4019
36,NORTH COAST,4020
36,NORTH COAST,4021
36,NORTH COAST,4022
33,BRISBANE,4025
33,BRISBANE,4030
33,BRISBANE,4031
33,BRISBANE,4032
33,BRISBANE,4034
33,BRISBANE,4035
36,NORTH COAST,4035
33,BRISBANE,4036
36,NORTH COAST,4037
33,BRISBANE,4051
33,BRISBANE,4053
36,NORTH COAST,4053
33,BRISBANE,4054
36,NORTH COAST,4054
33,BRISBANE,4055
36,NORTH COAST,4055
33,BRISBANE,4059
33,BRISBANE,4060
33,BRISBANE,4061
33,BRISBANE,4064
33,BRISBANE,4065
33,BRISBANE,4066
33,BRISBANE,4067
33,BRISBANE,4068
33,BRISBANE,4069
33,BRISBANE,4070
33,BRISBANE,4073
33,BRISBANE,4074
33,BRISBANE,4075
33,BRISBANE,4076
33,BRISBANE,4077
33,BRISBANE,4078
33,BRISBANE,4101
33,BRISBANE,4102
33,BRISBANE,4103
33,BRISBANE,4104
33,BRISBANE,4105
33,BRISBANE,4106
33,BRISBANE,4107
33,BRISBANE,4108
33,BRISBANE,4109
33,BRISBANE,4110
33,BRISBANE,4111
33,BRISBANE,4112
33,BRISBANE,4113
38,SOUTH EAST,4114
33,BRISBANE,4115
33,BRISBANE,4116
33,BRISBANE,4117
38,SOUTH EAST,4117
38,SOUTH EAST,4118
38,SOUTH EAST,4119
33,BRISBANE,4120
33,BRISBANE,4121
33,BRISBANE,4122
33,BRISBANE,4123
38,SOUTH EAST,4123
38,SOUTH EAST,4124
39,SOUTH WEST,4124
38,SOUTH EAST,4125
38,SOUTH EAST,4127
38,SOUTH EAST,4128
38,SOUTH EAST,4129
38,SOUTH EAST,4130
38,SOUTH EAST,4131
38,SOUTH EAST,4132
38,SOUTH EAST,4133
33,BRISBANE,4151
33,BRISBANE,4152
33,BRISBANE,4153
33,BRISBANE,4154
33,BRISBANE,4155
33,BRISBANE,4156
38,SOUTH EAST,4157
38,SOUTH EAST,4158
38,SOUTH EAST,4159
38,SOUTH EAST,4160
38,SOUTH EAST,4161
38,SOUTH EAST,4163
38,SOUTH EAST,4164
38,SOUTH EAST,4165
33,BRISBANE,4169
33,BRISBANE,4170
33,BRISBANE,4171
33,BRISBANE,4172
33,BRISBANE,4173
33,BRISBANE,4174
33,BRISBANE,4178
33,BRISBANE,4179
38,SOUTH EAST,4183
38,SOUTH EAST,4184
38,SOUTH EAST,4205
38,SOUTH EAST,4207
38,SOUTH EAST,4208
38,SOUTH EAST,4209
38,SOUTH EAST,4210
38,SOUTH EAST,4211
39,SOUTH WEST,4211
38,SOUTH EAST,4212
38,SOUTH EAST,4213
38,SOUTH EAST,4214
38,SOUTH EAST,4215
38,SOUTH EAST,4216
38,SOUTH EAST,4217
38,SOUTH EAST,4218
38,SOUTH EAST,4220
38,SOUTH EAST,4221
38,SOUTH EAST,4223
38,SOUTH EAST,4224
38,SOUTH EAST,4225
38,SOUTH EAST,4226
38,SOUTH EAST,4227
38,SOUTH EAST,4228
