Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66062,2020,01,01,26.2,1,Y
IDCJAC0010,66062,2020,01,02,25.8,1,Y
IDCJAC0010,66062,2020,01,03,28.6,1,Y
IDCJAC0010,66062,2020,01,04,35.9,1,Y
IDCJAC0010,66062,2020,01,05,27.4,1,Y
IDCJAC0010,66062,2020,01,06,25.1,1,Y
IDCJAC0010,66062,2020,01,07,27.3,1,Y
IDCJAC0010,66062,2020,01,08,28.0,1,Y
IDCJAC0010,66062,2020,01,09,26.7,1,Y
IDCJAC0010,66062,2020,01,10,28.7,1,Y
IDCJAC0010,66062,2020,01,11,23.3,1,Y
IDCJAC0010,66062,2020,01,12,22.2,1,Y
IDCJAC0010,66062,2020,01,13,25.9,1,Y
IDCJAC0010,66062,2020,01,14,26.3,1,Y
IDCJAC0010,66062,2020,01,15,26.2,1,Y
IDCJAC0010,66062,2020,01,16,26.5,1,Y
IDCJAC0010,66062,2020,01,17,22.1,1,Y
IDCJAC0010,66062,2020,01,18,23.0,1,Y
IDCJAC0010,66062,2020,01,19,26.5,1,Y
IDCJAC0010,66062,2020,01,20,27.7,1,Y
IDCJAC0010,66062,2020,01,21,32.0,1,Y
IDCJAC0010,66062,2020,01,22,31.8,1,Y
IDCJAC0010,66062,2020,01,23,41.3,1,Y
IDCJAC0010,66062,2020,01,24,26.5,1,Y
IDCJAC0010,66062,2020,01,25,28.6,1,Y
IDCJAC0010,66062,2020,01,26,32.0,1,Y
IDCJAC0010,66062,2020,01,27,29.3,1,Y
IDCJAC0010,66062,2020,01,28,30.3,1,Y
IDCJAC0010,66062,2020,01,29,29.3,1,Y
IDCJAC0010,66062,2020,01,30,28.7,1,Y
IDCJAC0010,66062,2020,01,31,30.8,1,Y
IDCJAC0010,66062,2020,02,01,34.8,1,Y
IDCJAC0010,66062,2020,02,02,30.7,1,Y
IDCJAC0010,66062,2020,02,03,31.4,1,Y
IDCJAC0010,66062,2020,02,04,24.0,1,Y
IDCJAC0010,66062,2020,02,05,25.8,1,Y
IDCJAC0010,66062,2020,02,06,24.1,1,Y
IDCJAC0010,66062,2020,02,07,22.9,1,Y
IDCJAC0010,66062,2020,02,08,23.9,1,Y
IDCJAC0010,66062,2020,02,09,22.3,1,Y
IDCJAC0010,66062,2020,02,10,26.9,1,Y
IDCJAC0010,66062,2020,02,11,30.6,1,Y
IDCJAC0010,66062,2020,02,12,26.0,1,Y
IDCJAC0010,66062,2020,02,13,26.2,1,Y
IDCJAC0010,66062,2020,02,14,27.8,1,Y
IDCJAC0010,66062,2020,02,15,28.3,1,Y
IDCJAC0010,66062,2020,02,16,27.7,1,Y
IDCJAC0010,66062,2020,02,17,25.3,1,Y
IDCJAC0010,66062,2020,02,18,29.4,1,Y
IDCJAC0010,66062,2020,02,19,29.4,1,Y
IDCJAC0010,66062,2020,02,20,25.6,1,Y
IDCJAC0010,66062,2020,02,21,25.3,1,Y
IDCJAC0010,66062,2020,02,22,23.6,1,Y
IDCJAC0010,66062,2020,02,23,25.4,1,Y
IDCJAC0010,66062,2020,02,24,28.0,1,Y
IDCJAC0010,66062,2020,02,25,28.4,1,Y
IDCJAC0010,66062,2020,02,26,33.0,1,Y
IDCJAC0010,66062,2020,02,27,25.8,1,Y
IDCJAC0010,66062,2020,02,28,26.0,1,Y
IDCJAC0010,66062,2020,02,29,26.2,1,Y
IDCJAC0010,66062,2020,03,01,28.0,1,Y
IDCJAC0010,66062,2020,03,02,37.6,1,Y
IDCJAC0010,66062,2020,03,03,22.2,1,Y
IDCJAC0010,66062,2020,03,04,24.8,1,Y
IDCJAC0010,66062,2020,03,05,22.9,1,Y
IDCJAC0010,66062,2020,03,06,27.9,1,Y
IDCJAC0010,66062,2020,03,07,25.1,1,Y
IDCJAC0010,66062,2020,03,08,23.4,1,Y
IDCJAC0010,66062,2020,03,09,22.4,1,Y
IDCJAC0010,66062,2020,03,10,23.6,1,Y
IDCJAC0010,66062,2020,03,11,25.2,1,Y
IDCJAC0010,66062,2020,03,12,25.3,1,Y
IDCJAC0010,66062,2020,03,13,25.1,1,Y
IDCJAC0010,66062,2020,03,14,17.9,1,Y
IDCJAC0010,66062,2020,03,15,20.7,1,Y
IDCJAC0010,66062,2020,03,16,22.3,1,Y
IDCJAC0010,66062,2020,03,17,23.7,1,Y
IDCJAC0010,66062,2020,03,18,25.4,1,Y
IDCJAC0010,66062,2020,03,19,32.5,1,Y
IDCJAC0010,66062,2020,03,20,35.0,1,Y
IDCJAC0010,66062,2020,03,21,26.0,1,Y
IDCJAC0010,66062,2020,03,22,29.5,1,Y
IDCJAC0010,66062,2020,03,23,23.4,1,Y
