Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066062,2018,01,01,20.5,1,Y
IDCJAC0011,066062,2018,01,02,20.5,1,Y
IDCJAC0011,066062,2018,01,03,19.9,1,Y
IDCJAC0011,066062,2018,01,04,18.1,1,Y
IDCJAC0011,066062,2018,01,05,17.3,1,Y
IDCJAC0011,066062,2018,01,06,20.3,1,Y
IDCJAC0011,066062,2018,01,07,22.4,1,Y
IDCJAC0011,066062,2018,01,08,22.0,1,Y
IDCJAC0011,066062,2018,01,09,22.1,1,Y
IDCJAC0011,066062,2018,01,10,18.6,1,Y
IDCJAC0011,066062,2018,01,11,19.3,1,Y
IDCJAC0011,066062,2018,01,12,21.6,1,Y
IDCJAC0011,066062,2018,01,13,23.2,1,Y
IDCJAC0011,066062,2018,01,14,14.8,1,Y
IDCJAC0011,066062,2018,01,15,16.3,1,Y
IDCJAC0011,066062,2018,01,16,18.3,1,Y
IDCJAC0011,066062,2018,01,17,17.3,1,Y
IDCJAC0011,066062,2018,01,18,15.7,1,Y
IDCJAC0011,066062,2018,01,19,16.9,1,Y
IDCJAC0011,066062,2018,01,20,17.4,1,Y
IDCJAC0011,066062,2018,01,21,19.5,1,Y
IDCJAC0011,066062,2018,01,22,21.5,1,Y
IDCJAC0011,066062,2018,01,23,22.7,1,Y
IDCJAC0011,066062,2018,01,24,21.8,1,Y
IDCJAC0011,066062,2018,01,25,22.5,1,Y
IDCJAC0011,066062,2018,01,26,23.5,1,Y
IDCJAC0011,066062,2018,01,27,23.8,1,Y
IDCJAC0011,066062,2018,01,28,24.0,1,Y
IDCJAC0011,066062,2018,01,29,23.3,1,Y
IDCJAC0011,066062,2018,01,30,21.4,1,Y
IDCJAC0011,066062,2018,01,31,18.0,1,Y
IDCJAC0011,066062,2018,02,01,16.9,1,Y
IDCJAC0011,066062,2018,02,02,15.9,1,Y
IDCJAC0011,066062,2018,02,03,16.6,1,Y
IDCJAC0011,066062,2018,02,04,16.6,1,Y
IDCJAC0011,066062,2018,02,05,16.9,1,Y
IDCJAC0011,066062,2018,02,06,18.7,1,Y
IDCJAC0011,066062,2018,02,07,19.8,1,Y
IDCJAC0011,066062,2018,02,08,18.9,1,Y
IDCJAC0011,066062,2018,02,09,21.6,1,Y
IDCJAC0011,066062,2018,02,10,21.8,1,Y
IDCJAC0011,066062,2018,02,11,21.5,1,Y
IDCJAC0011,066062,2018,02,12,21.7,1,Y
IDCJAC0011,066062,2018,02,13,23.5,1,Y
IDCJAC0011,066062,2018,02,14,23.1,1,Y
IDCJAC0011,066062,2018,02,15,21.3,1,Y
IDCJAC0011,066062,2018,02,16,19.9,1,Y
IDCJAC0011,066062,2018,02,17,22.4,1,Y
IDCJAC0011,066062,2018,02,18,22.2,1,Y
IDCJAC0011,066062,2018,02,19,23.7,1,Y
IDCJAC0011,066062,2018,02,20,20.4,1,Y
IDCJAC0011,066062,2018,02,21,18.1,1,Y
IDCJAC0011,066062,2018,02,22,19.0,1,Y
IDCJAC0011,066062,2018,02,23,20.0,1,Y
IDCJAC0011,066062,2018,02,24,21.4,1,Y
IDCJAC0011,066062,2018,02,25,22.0,1,Y
IDCJAC0011,066062,2018,02,26,17.0,1,Y
IDCJAC0011,066062,2018,02,27,16.7,1,Y
IDCJAC0011,066062,2018,02,28,16.4,1,Y
