Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,15135,1990,26.8,26.8,24.5,17.8,18.3,17.0,17.2,19.9,23.3,25.5,27.6,27.4,22.7
IDCJAC0003,15135,1991,22.9,21.0,26.3,20.7,19.5,16.2,17.0,20.3,21.3,26.9,26.4,29.0,22.3
IDCJAC0003,15135,1992,28.8,26.4,24.9,20.9,16.6,17.1,17.8,19.9,22.8,23.7,28.9,26.5,22.9
IDCJAC0003,15135,1993,25.2,19.3,25.8,21.1,17.6,14.8,17.1,19.0,21.5,24.5,24.8,25.7,21.4
IDCJAC0003,15135,1994,27.9,23.4,22.8,22.8,19.4,17.1,18.2,21.7,22.2,23.0,27.7,26.3,22.7
IDCJAC0003,15135,1995,25.5,26.5,21.3,22.3,16.7,17.1,18.2,21.5,23.3,25.3,25.6,28.3,22.6
IDCJAC0003,15135,1996,27.6,26.6,23.5,20.9,19.5,17.4,18.8,20.8,25.8,25.0,29.3,26.1,23.4
IDCJAC0003,15135,1997,24.4,24.9,27.5,23.7,18.0,17.6,19.1,20.9,24.3,24.8,25.5,25.2,23.0
IDCJAC0003,15135,1998,27.7,25.2,25.7,22.0,19.0,16.7,17.5,21.4,23.5,26.0,25.4,26.4,23.0
IDCJAC0003,15135,1999,25.6,26.4,24.1,22.0,20.0,17.9,18.8,21.9,25.6,22.6,26.2,26.6,23.1
IDCJAC0003,15135,2000,27.2,21.7,22.3,18.3,19.4,17.2,18.3,22.1,24.8,22.1,25.3,22.6,21.8
IDCJAC0003,15135,2001,25.2,22.4,21.7,22.7,19.5,16.8,17.2,22.6,24.4,23.0,24.3,27.0,22.2
IDCJAC0003,15135,2002,25.8,24.4,27.4,23.2,20.2,18.6,19.6,22.8,23.8,28.8,25.1,28.5,24.0
IDCJAC0003,15135,2003,22.1,23.5,26.0,23.0,20.3,17.6,19.3,19.8,23.6,28.0,26.2,23.9,22.8
IDCJAC0003,15135,2004,27.4,21.9,22.4,23.4,15.3,18.3,19.0,21.6,25.2,27.8,27.6,27.5,23.1
IDCJAC0003,15135,2005,27.6,27.8,23.4,22.7,19.9,16.0,18.7,21.8,23.4,24.5,25.0,null,null
IDCJAC0003,15135,2006,21.7,27.6,21.2,20.5,20.1,18.6,19.1,22.6,25.3,26.4,30.1,23.5,23.1
IDCJAC0003,15135,2007,23.4,27.6,21.4,22.5,17.2,15.3,18.9,21.3,24.0,26.0,27.2,23.2,22.3
IDCJAC0003,15135,2008,26.9,24.6,24.0,23.1,19.7,16.9,18.7,20.5,22.7,26.3,24.1,25.5,22.8
IDCJAC0003,15135,2009,21.9,24.9,26.7,21.9,18.0,17.3,18.4,20.9,23.8,27.3,28.4,23.6,22.8
IDCJAC0003,15135,2010,25.5,23.5,23.6,19.2,16.3,17.3,15.5,20.0,20.2,23.3,27.4,25.6,21.4
IDCJAC0003,15135,2011,24.3,22.4,18.1,20.7,18.7,16.9,17.2,20.8,24.2,25.1,22.5,25.9,21.4
IDCJAC0003,15135,2012,25.8,26.5,21.9,20.2,19.2,17.4,18.8,22.6,24.2,27.9,25.8,26.5,23.1
IDCJAC0003,15135,2013,29.3,25.3,24.0,21.3,17.0,16.4,17.8,22.0,22.4,24.8,22.4,23.0,22.1
IDCJAC0003,15135,2014,23.4,19.9,23.6,20.7,17.9,17.6,18.3,21.4,24.6,27.0,22.8,22.4,21.6
IDCJAC0003,15135,2015,21.9,26.2,24.3,21.4,18.6,17.2,18.5,20.1,24.8,24.9,26.1,21.1,22.1
IDCJAC0003,15135,2016,25.7,25.4,22.4,21.1,16.8,16.5,17.3,19.4,22.0,25.6,25.8,22.8,21.7
IDCJAC0003,15135,2017,24.6,26.4,22.9,21.0,18.7,17.3,17.3,20.8,23.7,25.2,25.2,27.3,22.5
IDCJAC0003,15135,2018,24.4,26.1,23.2,21.2,17.9,17.3,18.1,20.6,23.9,25.9,25.9,28.7,22.8
IDCJAC0003,15135,2019,27.2,26.5,23.8,21.2,18.0,17.3,18.1,20.5,23.7,25.6,27.5,29.1,23.2
IDCJAC0003,15135,2020,24.7,25.2,24.5,21.0,17.3,17.4,18.0,20.6,23.4,26.1,null,null,null
