Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,8315,2007,01,30.3
IDCJAC0003,8315,2007,02,25.8
IDCJAC0003,8315,2007,03,23.2
IDCJAC0003,8315,2007,04,17.8
IDCJAC0003,8315,2007,05,14.0
IDCJAC0003,8315,2007,06,11.7
IDCJAC0003,8315,2007,07,11.2
IDCJAC0003,8315,2007,08,15.3
IDCJAC0003,8315,2007,09,20.1
IDCJAC0003,8315,2007,10,25.0
IDCJAC0003,8315,2007,11,30.0
IDCJAC0003,8315,2007,12,28.2
IDCJAC0003,8315,2008,01,28.6
IDCJAC0003,8315,2008,02,24.1
IDCJAC0003,8315,2008,03,21.1
IDCJAC0003,8315,2008,04,16.8
IDCJAC0003,8315,2008,05,13.8
IDCJAC0003,8315,2008,06,11.1
IDCJAC0003,8315,2008,07,10.7
IDCJAC0003,8315,2008,08,16.1
IDCJAC0003,8315,2008,09,19.8
IDCJAC0003,8315,2008,10,23.9
IDCJAC0003,8315,2008,11,27.8
IDCJAC0003,8315,2008,12,31.0
IDCJAC0003,8315,2009,01,29.7
IDCJAC0003,8315,2009,02,26.6
IDCJAC0003,8315,2009,03,22.6
IDCJAC0003,8315,2009,04,18.6
IDCJAC0003,8315,2009,05,13.8
IDCJAC0003,8315,2009,06,10.5
IDCJAC0003,8315,2009,07,11.1
IDCJAC0003,8315,2009,08,15.0
IDCJAC0003,8315,2009,09,19.8
IDCJAC0003,8315,2009,10,24.3
IDCJAC0003,8315,2009,11,27.1
IDCJAC0003,8315,2009,12,29.7
IDCJAC0003,8315,2010,01,29.9
IDCJAC0003,8315,2010,02,26.1
IDCJAC0003,8315,2010,03,22.0
IDCJAC0003,8315,2010,04,16.6
IDCJAC0003,8315,2010,05,14.1
IDCJAC0003,8315,2010,06,10.5
IDCJAC0003,8315,2010,07,12.5
IDCJAC0003,8315,2010,08,15.1
IDCJAC0003,8315,2010,09,20.7
IDCJAC0003,8315,2010,10,25.1
IDCJAC0003,8315,2010,11,26.5
IDCJAC0003,8315,2010,12,26.5
IDCJAC0003,8315,2011,01,25.4
IDCJAC0003,8315,2011,02,24.2
IDCJAC0003,8315,2011,03,23.4
IDCJAC0003,8315,2011,04,17.3
IDCJAC0003,8315,2011,05,13.1
IDCJAC0003,8315,2011,06,10.6
IDCJAC0003,8315,2011,07,10.6
IDCJAC0003,8315,2011,08,15.2
IDCJAC0003,8315,2011,09,19.6
IDCJAC0003,8315,2011,10,22.1
