INSTALLATION YEAR, ACT, NSW, NT, QLD, SA, TAS, VIC, WA, NATIONAL
2010, 2323, 69988, 637 ,48697 ,16705 ,1889 ,35676 ,22293 ,198208
2011, 6860, 80272, 401 ,95303 ,63553 ,2475 ,60214 ,51667 ,360745
2012, 1522, 53961, 513 ,130252, 41851, 6364, 66204, 42653, 343320
2013, 2411, 33998, 1024, 71197, 29187, 7658, 33332, 21600, 200407
2014, 1225, 37210, 1026, 57748, 15166, 4207, 40061, 23496, 180139
2015, 1066, 33477, 1197, 39507, 12081, 2020, 31354, 20797, 141499
2016, 1001, 29496, 1745, 34422, 12604, 2487, 26740, 24199, 132694
2017, 1946, 43237, 1950, 46448, 16190, 2393, 31358, 31404, 174926
2018, 3201, 59299, 2365, 55056, 21889, 2640, 47197, 33094, 224741
2019, 3610, 78931, 3329, 73726, 27170, 2980, 59610, 38149, 287504 
