Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,32040,1990,01,27.5
IDCJAC0003,32040,1990,02,28.0
IDCJAC0003,32040,1990,03,16.2
IDCJAC0003,32040,1990,04,18.4
IDCJAC0003,32040,1990,05,14.1
IDCJAC0003,32040,1990,06,13.9
IDCJAC0003,32040,1990,07,15.1
IDCJAC0003,32040,1990,08,19.0
IDCJAC0003,32040,1990,09,23.4
IDCJAC0003,32040,1990,10,25.5
IDCJAC0003,32040,1990,11,27.9
IDCJAC0003,32040,1990,12,21.2
IDCJAC0003,32040,1991,01,18.7
IDCJAC0003,32040,1991,02,16.4
IDCJAC0003,32040,1991,03,24.6
IDCJAC0003,32040,1991,04,18.8
IDCJAC0003,32040,1991,05,17.9
IDCJAC0003,32040,1991,06,15.7
IDCJAC0003,32040,1991,07,16.3
IDCJAC0003,32040,1991,08,17.4
IDCJAC0003,32040,1991,09,23.5
IDCJAC0003,32040,1991,10,26.9
IDCJAC0003,32040,1991,11,26.2
IDCJAC0003,32040,1991,12,28.3
IDCJAC0003,32040,1992,01,27.3
IDCJAC0003,32040,1992,02,22.7
IDCJAC0003,32040,1992,03,24.2
IDCJAC0003,32040,1992,04,18.7
IDCJAC0003,32040,1992,05,15.8
IDCJAC0003,32040,1992,06,16.6
IDCJAC0003,32040,1992,07,16.2
IDCJAC0003,32040,1992,08,18.5
IDCJAC0003,32040,1992,09,21.2
IDCJAC0003,32040,1992,10,26.0
IDCJAC0003,32040,1992,11,27.1
IDCJAC0003,32040,1992,12,23.8
IDCJAC0003,32040,1993,01,22.6
IDCJAC0003,32040,1993,02,22.6
IDCJAC0003,32040,1993,03,24.0
IDCJAC0003,32040,1993,04,17.5
IDCJAC0003,32040,1993,05,17.7
IDCJAC0003,32040,1993,06,15.4
IDCJAC0003,32040,1993,07,14.1
IDCJAC0003,32040,1993,08,18.7
IDCJAC0003,32040,1993,09,20.0
IDCJAC0003,32040,1993,10,24.2
IDCJAC0003,32040,1993,11,26.8
IDCJAC0003,32040,1993,12,25.8
IDCJAC0003,32040,1994,01,25.8
IDCJAC0003,32040,1994,02,20.5
IDCJAC0003,32040,1994,03,19.8
IDCJAC0003,32040,1994,04,20.3
IDCJAC0003,32040,1994,05,15.5
IDCJAC0003,32040,1994,06,15.8
IDCJAC0003,32040,1994,07,16.1
IDCJAC0003,32040,1994,08,20.7
IDCJAC0003,32040,1994,09,23.4
IDCJAC0003,32040,1994,10,23.7
IDCJAC0003,32040,1994,11,25.8
IDCJAC0003,32040,1994,12,27.1
IDCJAC0003,32040,1995,01,28.1
IDCJAC0003,32040,1995,02,20.2
IDCJAC0003,32040,1995,03,22.2
IDCJAC0003,32040,1995,04,20.9
IDCJAC0003,32040,1995,05,15.2
IDCJAC0003,32040,1995,06,15.5
IDCJAC0003,32040,1995,07,17.9
IDCJAC0003,32040,1995,08,15.5
IDCJAC0003,32040,1995,09,23.8
IDCJAC0003,32040,1995,10,25.4
IDCJAC0003,32040,1995,11,25.3
IDCJAC0003,32040,1995,12,25.2
IDCJAC0003,32040,1996,01,24.6
IDCJAC0003,32040,1996,02,25.6
IDCJAC0003,32040,1996,03,23.7
IDCJAC0003,32040,1996,04,20.2
IDCJAC0003,32040,1996,05,17.1
IDCJAC0003,32040,1996,06,15.1
IDCJAC0003,32040,1996,07,17.7
IDCJAC0003,32040,1996,08,20.3
IDCJAC0003,32040,1996,09,25.0
IDCJAC0003,32040,1996,10,24.6
IDCJAC0003,32040,1996,11,28.0
IDCJAC0003,32040,1996,12,26.8
IDCJAC0003,32040,1997,01,24.5
IDCJAC0003,32040,1997,02,22.1
IDCJAC0003,32040,1997,03,19.6
IDCJAC0003,32040,1997,04,21.8
IDCJAC0003,32040,1997,05,17.0
IDCJAC0003,32040,1997,06,15.8
IDCJAC0003,32040,1997,07,16.5
IDCJAC0003,32040,1997,08,19.9
IDCJAC0003,32040,1997,09,23.2
IDCJAC0003,32040,1997,10,25.3
IDCJAC0003,32040,1997,11,25.5
IDCJAC0003,32040,1997,12,22.1
IDCJAC0003,32040,1998,01,21.4
IDCJAC0003,32040,1998,02,21.5
IDCJAC0003,32040,1998,03,21.9
IDCJAC0003,32040,1998,04,18.7
IDCJAC0003,32040,1998,05,16.3
IDCJAC0003,32040,1998,06,16.3
IDCJAC0003,32040,1998,07,16.1
IDCJAC0003,32040,1998,08,18.1
IDCJAC0003,32040,1998,09,23.0
IDCJAC0003,32040,1998,10,22.9
IDCJAC0003,32040,1998,11,23.3
IDCJAC0003,32040,1998,12,25.5
IDCJAC0003,32040,1999,01,21.7
IDCJAC0003,32040,1999,02,18.5
IDCJAC0003,32040,1999,03,20.8
IDCJAC0003,32040,1999,04,16.9
IDCJAC0003,32040,1999,05,16.8
IDCJAC0003,32040,1999,06,16.6
IDCJAC0003,32040,1999,07,16.6
IDCJAC0003,32040,1999,08,19.3
IDCJAC0003,32040,1999,09,24.4
IDCJAC0003,32040,1999,10,24.4
IDCJAC0003,32040,1999,11,19.8
IDCJAC0003,32040,1999,12,23.6
IDCJAC0003,32040,2000,01,26.8
IDCJAC0003,32040,2000,02,16.6
IDCJAC0003,32040,2000,03,23.0
IDCJAC0003,32040,2000,04,16.2
IDCJAC0003,32040,2000,05,16.1
IDCJAC0003,32040,2000,06,14.4
IDCJAC0003,32040,2000,07,18.2
IDCJAC0003,32040,2000,08,20.8
IDCJAC0003,32040,2000,09,23.2
IDCJAC0003,32040,2000,10,22.4
IDCJAC0003,32040,2000,11,20.0
IDCJAC0003,32040,2000,12,22.1
IDCJAC0003,32040,2001,01,27.4
IDCJAC0003,32040,2001,02,19.1
IDCJAC0003,32040,2001,03,23.7
IDCJAC0003,32040,2001,04,20.3
IDCJAC0003,32040,2001,05,19.5
IDCJAC0003,32040,2001,06,15.8
IDCJAC0003,32040,2001,07,18.5
IDCJAC0003,32040,2001,08,21.6
IDCJAC0003,32040,2001,09,22.3
IDCJAC0003,32040,2001,10,25.2
IDCJAC0003,32040,2001,11,25.4
IDCJAC0003,32040,2001,12,26.9
IDCJAC0003,32040,2002,01,26.5
IDCJAC0003,32040,2002,02,24.0
IDCJAC0003,32040,2002,03,25.3
IDCJAC0003,32040,2002,04,20.1
IDCJAC0003,32040,2002,05,18.0
IDCJAC0003,32040,2002,06,17.0
IDCJAC0003,32040,2002,07,17.9
IDCJAC0003,32040,2002,08,19.5
IDCJAC0003,32040,2002,09,25.0
