Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,32040,1990,27.5,28.0,16.2,18.4,14.1,13.9,15.1,19.0,23.4,25.5,27.9,21.2,20.8
IDCJAC0003,32040,1991,18.7,16.4,24.6,18.8,17.9,15.7,16.3,17.4,23.5,26.9,26.2,28.3,20.9
IDCJAC0003,32040,1992,27.3,22.7,24.2,18.7,15.8,16.6,16.2,18.5,21.2,26.0,27.1,23.8,21.5
IDCJAC0003,32040,1993,22.6,22.6,24.0,17.5,17.7,15.4,14.1,18.7,20.0,24.2,26.8,25.8,20.8
IDCJAC0003,32040,1994,25.8,20.5,19.8,20.3,15.5,15.8,16.1,20.7,23.4,23.7,25.8,27.1,21.2
IDCJAC0003,32040,1995,28.1,20.2,22.2,20.9,15.2,15.5,17.9,15.5,23.8,25.4,25.3,25.2,21.3
IDCJAC0003,32040,1996,24.6,25.6,23.7,20.2,17.1,15.1,17.7,20.3,25.0,24.6,28.0,26.8,22.4
IDCJAC0003,32040,1997,24.5,22.1,19.6,21.8,17.0,15.8,16.5,19.9,23.2,25.3,25.5,22.1,21.1
IDCJAC0003,32040,1998,21.4,21.5,21.9,18.7,16.3,16.3,16.1,18.1,23.0,22.9,23.3,25.5,20.4
IDCJAC0003,32040,1999,21.7,18.5,20.8,16.9,16.8,16.6,16.6,19.3,24.4,24.4,19.8,23.6,19.9
IDCJAC0003,32040,2000,26.8,16.6,23.0,16.2,16.1,14.4,18.2,20.8,23.2,22.4,20.0,22.1,20.0
IDCJAC0003,32040,2001,27.4,19.1,23.7,20.3,19.5,15.8,18.5,21.6,22.3,25.2,25.4,26.9,22.1
IDCJAC0003,32040,2002,26.5,24.0,25.3,20.1,18.0,17.0,17.9,19.5,25.0,25.9,28.4,28.4,23.0
IDCJAC0003,32040,2003,25.8,23.9,22.3,20.2,16.4,15.4,17.8,19.6,24.4,25.3,27.4,27.0,22.1
IDCJAC0003,32040,2004,24.8,22.9,22.2,19.1,16.4,16.9,17.6,21.8,22.3,25.4,25.7,25.3,21.7
IDCJAC0003,32040,2005,24.6,28.4,22.8,21.7,18.7,14.3,16.2,18.2,24.2,25.2,27.2,null,null
IDCJAC0003,32040,2006,22.6,25.3,21.2,15.8,14.8,15.7,16.9,22.1,24.5,27.9,28.3,23.0,21.5
IDCJAC0003,32040,2007,20.7,18.8,23.7,21.0,17.0,11.4,18.1,18.6,23.1,25.5,24.5,23.7,20.5
IDCJAC0003,32040,2008,21.2,19.2,20.1,21.9,17.3,15.5,15.0,20.0,21.2,25.9,25.0,25.9,20.7
IDCJAC0003,32040,2009,16.3,17.2,23.4,19.8,15.2,16.3,17.8,20.2,23.5,26.4,25.9,26.5,20.7
IDCJAC0003,32040,2010,18.6,21.3,19.9,16.7,16.8,15.9,14.2,16.6,19.3,23.2,18.8,20.7,18.5
IDCJAC0003,32040,2011,22.7,20.0,15.9,17.8,16.6,15.1,16.7,19.1,22.3,22.8,26.5,23.7,19.9
IDCJAC0003,32040,2012,24.1,22.2,16.4,19.8,15.7,15.2,15.9,20.9,23.9,26.3,27.7,27.8,21.3
IDCJAC0003,32040,2013,25.2,24.2,21.7,18.1,14.9,15.7,15.8,20.8,23.2,24.4,21.8,27.4,21.1
IDCJAC0003,32040,2014,22.1,19.9,18.9,17.8,16.6,14.3,17.3,19.3,22.6,25.8,26.5,25.9,20.6
IDCJAC0003,32040,2015,21.9,22.7,22.6,20.4,17.5,14.3,16.8,19.9,23.1,24.5,25.8,25.3,21.2
IDCJAC0003,32040,2016,24.1,23.4,18.6,19.7,16.5,15.5,16.4,18.9,21.4,25.3,27.6,26.2,21.1
IDCJAC0003,32040,2017,23.7,25.1,20.9,20.1,16.5,15.7,17.0,20.0,22.9,22.8,25.9,28.7,21.6
IDCJAC0003,32040,2018,23.7,22.4,19.5,19.3,17.0,16.0,17.5,20.3,23.4,25.6,27.5,22.4,21.2
IDCJAC0003,32040,2019,21.8,21.7,19.8,19.5,15.7,15.7,16.6,20.0,23.7,25.6,28.2,28.3,21.4
IDCJAC0003,32040,2020,25.4,24.6,21.6,20.6,16.3,15.9,16.5,19.9,22.3,26.3,null,null,null
