'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,0,0,0,0,10,0,0,0,0,0,0
2007-02,2,3,0,0,0,0,0,0,0,0,0
2007-03,0,0,0,8,0,0,0,0,0,0,0
2007-04,1,0,6,0,11,0,0,0,0,0,0
2007-06,0,3,0,7,0,0,0,0,0,0,0
2007-07,0,0,0,0,0,20,0,0,0,0,0
2007-08,1,0,0,0,0,0,0,0,0,0,0
2007-09,0,3,0,0,12,0,0,0,0,0,0
2007-10,0,0,0,21,0,0,0,0,0,0,0
2007-11,1,0,6,0,0,0,0,0,0,0,0
2007-12,2,0,0,7,46,14,0,0,0,0,0
2008-01,4,3,0,0,0,0,0,0,0,0,0
2008-02,1,0,0,0,0,0,0,0,0,0,0
2008-03,0,0,0,16,0,0,0,0,0,0,0
2008-04,2,0,0,7,12,0,0,0,0,0,0
2008-05,6,0,0,0,0,0,0,0,0,0,0
2008-06,2,3,0,0,36,15,0,0,0,0,0
2008-07,4,0,0,7,12,29,0,0,0,0,0
2008-08,2,3,12,0,0,17,0,0,0,0,0
2008-09,4,0,49,36,0,0,0,0,0,0,0
2008-10,10,0,5,0,0,16,0,0,0,0,0
2008-11,5,0,0,0,0,17,0,0,0,0,0
2008-12,23,6,11,0,12,0,32,0,0,0,0
2009-01,16,0,0,0,0,0,0,0,0,0,0
2009-02,24,0,0,7,0,0,0,0,0,0,0
2009-03,23,4,0,0,0,0,0,0,0,0,0
2009-04,6,0,6,0,0,0,0,0,0,0,0
2009-05,10,3,0,0,0,0,0,0,0,0,0
2009-06,5,0,0,9,0,0,0,0,304,0,0
2009-07,10,0,5,0,0,40,0,0,0,0,0
2009-08,17,6,0,0,0,32,0,0,0,0,0
2009-09,27,3,0,0,0,39,0,0,0,0,0
2009-10,28,9,0,0,12,0,0,0,0,0,0
2009-11,76,0,6,0,20,0,0,0,0,0,0
2009-12,38,3,0,17,11,0,0,0,0,0,0
2010-01,46,4,0,0,0,0,34,0,0,0,0
2010-02,89,20,28,0,11,0,0,0,0,0,0
2010-03,98,10,21,7,0,0,0,0,0,0,0
2010-04,82,16,0,0,33,14,0,0,0,0,0
2010-05,84,15,5,0,0,17,0,0,0,0,0
2010-06,97,17,0,0,11,0,0,0,0,0,0
2010-07,75,16,11,0,35,0,74,0,0,0,0
2010-08,63,0,11,0,0,0,0,0,0,0,0
2010-09,123,17,0,0,11,18,36,64,0,0,0
2010-10,60,28,5,0,0,0,0,0,0,0,0
2010-11,42,12,5,0,0,0,0,0,0,0,0
2010-12,29,7,0,7,0,0,0,0,0,0,0
2011-01,11,9,6,0,0,0,0,0,0,0,0
2011-02,2,0,0,0,0,0,0,0,0,0,0
2011-03,41,25,5,0,0,0,0,0,101,0,0
2011-04,70,26,5,0,10,0,0,0,0,0,0
2011-05,72,34,20,9,10,0,30,74,0,0,0
2011-06,145,67,32,0,45,52,45,0,0,0,0
2011-07,28,15,5,0,20,18,25,0,0,0,0
2011-08,21,24,0,0,0,0,0,0,0,0,0
2011-09,30,24,20,9,21,14,0,0,969,0,0
2011-10,14,15,30,0,10,0,64,0,0,0,0
2011-11,18,7,12,0,0,0,161,0,0,0,0
2011-12,9,9,10,0,0,77,255,0,235,0,0
2012-01,11,23,11,0,0,0,29,0,0,0,0
2012-02,21,20,17,0,10,15,0,0,0,0,0
2012-03,17,24,26,29,10,14,0,0,0,0,0
2012-04,10,18,15,7,11,59,0,0,0,0,0
2012-05,176,35,26,91,10,0,0,0,0,0,0
2012-06,56,88,97,31,32,16,96,0,0,0,0
2012-07,12,15,15,7,31,0,0,0,0,0,0
2012-08,4,14,42,9,11,41,0,0,0,0,0
2012-09,12,31,16,0,11,77,0,0,0,0,0
2012-10,10,51,24,29,12,0,0,0,0,0,0
2012-11,12,73,46,37,10,42,0,0,324,0,0
