'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,21,3,0,0,0,0,0,0,0,0,0
2007-02,22,0,0,0,0,0,0,0,0,0,0
2007-03,35,6,5,0,0,0,0,0,0,0,0
2007-04,43,12,5,0,0,0,0,0,0,0,0
2007-05,55,0,5,0,0,0,0,0,0,0,0
2007-06,48,10,0,0,0,0,0,0,0,0,0
2007-07,53,15,0,9,0,0,0,0,0,0,0
2007-08,101,16,0,0,0,0,0,0,0,0,0
2007-09,83,42,11,0,0,0,0,0,0,0,0
2007-10,148,46,5,0,10,16,0,0,0,0,0
2007-11,123,22,5,0,0,0,0,0,0,0,0
2007-12,91,36,6,0,0,0,0,0,0,0,0
2008-01,111,13,10,0,0,0,0,0,0,0,0
2008-02,125,33,5,7,0,0,0,0,0,0,0
2008-03,166,32,0,0,0,0,0,0,0,0,0
2008-04,235,31,32,14,0,0,0,0,0,0,0
2008-05,247,69,11,7,0,0,0,0,0,0,0
2008-06,142,22,22,0,0,0,0,0,0,0,0
2008-07,158,49,17,0,0,20,0,0,0,0,0
2008-08,129,21,5,0,0,0,0,0,0,0,0
2008-09,162,10,17,0,0,0,0,0,0,0,0
2008-10,203,21,5,0,0,0,0,0,0,0,0
2008-11,211,18,5,0,0,0,0,0,0,0,0
2008-12,306,31,5,0,0,0,0,0,0,0,0
2009-01,328,13,10,0,0,0,0,0,0,0,0
2009-02,554,12,5,0,0,0,0,0,0,0,0
2009-03,485,10,10,0,0,0,0,0,0,0,0
2009-04,414,9,6,7,0,0,0,0,0,0,0
2009-05,616,3,12,0,0,0,0,0,0,0,0
2009-06,513,21,10,0,0,0,0,0,0,0,0
2009-07,690,42,23,17,0,0,0,0,0,0,0
2009-08,785,44,10,24,0,0,0,0,0,0,0
2009-09,1166,36,28,0,0,0,0,0,0,0,0
2009-10,1248,77,33,0,0,0,0,0,0,0,0
2009-11,1340,55,47,7,0,0,0,0,336,0,0
2009-12,1564,149,66,7,10,0,0,0,320,0,0
2010-01,2294,135,57,0,0,0,0,0,0,0,0
2010-02,3069,206,157,34,10,0,0,0,0,0,0
2010-03,4318,283,116,22,0,0,0,67,0,0,0
2010-04,4108,436,246,25,11,0,0,0,0,0,0
2010-05,5554,509,178,32,0,0,26,0,0,0,0
2010-06,4613,533,295,0,12,43,0,0,0,0,0
2010-07,3291,766,319,41,44,0,0,0,0,0,0
2010-08,2914,652,325,24,10,18,0,0,0,0,0
2010-09,3683,948,422,68,33,0,0,0,0,0,0
2010-10,4102,1186,522,38,64,0,29,0,0,0,0
2010-11,4619,1473,421,39,20,0,0,0,0,0,0
2010-12,3864,1445,496,18,0,0,0,0,0,0,0
2011-01,4360,1684,660,8,50,34,27,0,0,0,0
2011-02,5325,2115,720,8,10,34,0,0,0,0,0
2011-03,7250,2941,1187,0,53,0,39,0,0,0,0
2011-04,6903,3144,1234,20,61,36,29,0,0,0,0
2011-05,10079,5607,2245,15,44,29,0,0,0,0,0
2011-06,14136,9624,4740,56,166,67,70,0,0,0,0
2011-07,4357,3396,1585,33,50,50,0,0,0,0,0
2011-08,4426,4584,2304,9,31,44,0,0,0,0,0
2011-09,5741,8298,5378,17,63,85,0,0,0,0,0
2011-10,1640,1397,526,39,105,20,29,0,0,0,0
2011-11,2784,1945,802,59,232,15,0,0,0,0,0
2011-12,2444,2156,1137,76,40,78,30,0,0,0,0
2012-01,2375,2048,1033,64,97,29,0,0,0,0,0
2012-02,3884,3555,1741,150,167,61,0,54,0,0,0
2012-03,4965,4549,2663,144,244,135,0,0,0,0,0
2012-04,5847,5376,3144,236,347,192,0,0,0,0,0
2012-05,7760,9769,6201,370,607,314,81,85,0,0,0
